ID,Latitude,Longitude,Region,Elevation,Slope,Aspect,Hillshade,TPI,Roughness,Curvature,Rain_7d,Rain_30d,Rain_year,NDVI,NDMI,NBR,BSI,Distance_to_River,Landcover,Treecover,Cropland,Builtup,Landslide_Score,Prediction_Class,Prediction_Landslide,Ground_Truth,Observation_Time
642_0,-7.267191806199669,106.66704556007414,Sukabumi,311,15,183,183,-2.931034482758605,17,13.0,60.67081165313721,555.1106758117676,3410.9488346278667,0.8256705,0.3261109,0.63838476,-0.28608298,-9999.0,10,1,0,0,1.4000000000000001,2,Moderate,0,2026-04-19 10:08:07
643_0,-6.852170144936444,106.63362823150487,Sukabumi,528,13,286,220,2.4482758620689538,14,-7.0,52.619394302368164,502.17200660705566,3940.206082083285,0.7144973,0.21900973,0.5114735,-0.18346897,-9999.0,10,1,0,0,1.2000000000000002,2,Moderate,0,2026-04-19 10:08:07
644_0,-7.19442826818598,106.49483852010843,Sukabumi,29,9,238,204,1.0344827586206904,8,-3.0,62.95968818664551,593.3800439834595,3641.5841948390007,0.74211884,0.22521105,0.51365405,-0.18374829,-9999.0,10,1,0,0,0.9,1,Low,0,2026-04-19 10:08:07
645_0,-6.918196318319239,107.03760061477345,Sukabumi,1057,16,239,223,8.034482758620697,15,-42.0,62.62728452682495,472.5345950126648,3852.0829632878304,0.8071719,0.33080372,0.6269262,-0.30686367,-9999.0,10,1,0,0,1.55,3,High,0,2026-04-19 10:08:07
646_0,-6.960776462786505,106.54550350213276,Sukabumi,195,24,129,124,4.482758620689651,23,-11.0,69.9830846786499,645.2980451583862,4113.146141245961,0.81372803,0.23834525,0.5582339,-0.21815625,-9999.0,10,1,0,0,1.65,3,High,0,2026-04-19 10:08:07
647_0,-6.834114007725653,106.4404006138908,Sukabumi,472,23,347,197,-6.1034482758620925,26,31.0,64.99346351623535,514.5280666351318,4330.523582696915,0.59402895,0.22543849,0.5404246,-0.18331343,-9999.0,10,1,0,0,1.35,2,Moderate,0,2026-04-19 10:08:07
648_0,-6.82495119182763,106.96537606593023,Sukabumi,1551,18,225,219,-1.58620689655163,15,0.0,72.60056209564209,533.4877281188965,4187.951737731695,0.8404874,0.31192866,0.60283303,-0.28781846,-9999.0,10,1,0,0,1.6,3,High,0,2026-04-19 10:08:07
649_0,-7.334295957923395,106.5444255237918,Sukabumi,106,11,256,215,4.482758620689651,12,-18.0,47.2749662399292,606.1818151473999,3392.477122873068,0.64724505,0.26537794,0.53161657,-0.20931141,-9999.0,10,1,0,0,1.05,2,Moderate,0,2026-04-19 10:08:07
650_0,-7.078006607364095,106.90878220303068,Sukabumi,688,16,186,186,-7.655172413793139,18,36.0,61.49103832244873,450.3715748786926,3688.4384391754866,0.70958906,0.2715474,0.5410792,-0.2304709,-9999.0,10,1,0,0,1.35,2,Moderate,0,2026-04-19 10:08:07
651_0,-7.300070145598447,106.52071000029105,Sukabumi,197,6,252,198,-0.5517241379310462,6,3.0,47.2749662399292,606.1818151473999,3392.477122873068,0.6931507,0.20876111,0.48340294,-0.15753226,-9999.0,10,1,0,0,0.9,1,Low,0,2026-04-19 10:08:07
652_0,-6.807434043787303,106.76675855661142,Sukabumi,448,5,90,166,-1.3103448275862206,5,8.0,49.69874954223633,386.6102976799011,3399.083279825747,0.82989025,0.33434305,0.633696,-0.2977111,-9999.0,10,1,0,0,0.8,1,Low,0,2026-04-19 10:08:07
653_0,-6.919274296660184,106.8853361741152,Sukabumi,569,3,45,174,-2.4827586206896513,2,11.0,55.384182929992676,412.6463384628296,3737.5777485966682,0.40771124,0.31829575,0.5655199,-0.18349534,-9999.0,40,0,1,0,0.8,1,Low,0,2026-04-19 10:08:07
